sequence,trace_id,source,state_to_done_ms,control_success,feedback_status
1,84baaada-04bb-420f-8c84-60155c7372d1,FlexRIC/MAC_SM,35.442963,True,done
2,c968a383-9742-4692-a93a-131614a6fd1e,FlexRIC/MAC_SM,37.268578,True,done
3,46dd84cb-4dfa-4a36-a9db-d59d01aa393e,FlexRIC/MAC_SM,40.597511,True,done
4,3f225b77-7a08-4105-b7e9-8ac33cc5bf90,FlexRIC/MAC_SM,43.979754,True,done
5,f11573a5-75e7-4ecc-bf7c-ad711bfab7eb,FlexRIC/MAC_SM,40.861078,True,done
6,26cf3fa4-1acf-40ef-9c06-fb89bdd552bc,FlexRIC/MAC_SM,35.097321,True,done
7,1744b7b4-1577-441c-80a3-1405f8b20479,FlexRIC/MAC_SM,35.973635,True,done
8,b7e20343-df24-4407-8a88-86e2305f9343,FlexRIC/MAC_SM,33.504955,True,done
9,70a40eee-076e-4ec4-a0f3-b74cf57a60d5,FlexRIC/MAC_SM,35.423355,True,done
10,2e87f8c5-52c5-4c0a-b143-f31b94f8cf3e,FlexRIC/MAC_SM,35.389982,True,done
11,7157ced7-95ff-42ec-b305-0b476c763896,FlexRIC/MAC_SM,34.872696,True,done
12,c307f63e-8e4d-4095-a8d4-0271ebd88c30,FlexRIC/MAC_SM,34.690523,True,done
13,7c8db703-efa2-4b21-a56a-01f3d654fc7a,FlexRIC/MAC_SM,34.863148,True,done
14,54ae0193-a117-4155-9ba5-3640acb816d3,FlexRIC/MAC_SM,34.883788,True,done
15,dcdcf064-a307-4163-bfb7-5fa17e778019,FlexRIC/MAC_SM,36.047724,True,done
16,3227dab3-a98a-4c3d-afda-30e8a922af88,FlexRIC/MAC_SM,34.744675,True,done
17,1f0b491f-1e42-49e9-b228-cd5d3ecb8c51,FlexRIC/MAC_SM,35.583558,True,done
18,81744a44-ffed-4097-83f1-925a8f9f0fb3,FlexRIC/MAC_SM,36.216432,True,done
19,c6c95531-88be-464c-b59f-d87d81559834,FlexRIC/MAC_SM,34.759333,True,done
20,e8bbe5ca-ae83-4c7d-84fd-813a0f70ff86,FlexRIC/MAC_SM,35.833299,True,done
21,261e95e0-cf60-4014-9969-29ba8232096d,FlexRIC/MAC_SM,35.07087,True,done
22,93a0a177-bf23-4920-a1bd-54e0e646ff51,FlexRIC/MAC_SM,35.255639,True,done
23,4f400ac3-6d18-4aa0-8db9-f45fdb52257c,FlexRIC/MAC_SM,35.137406,True,done
24,54d73c62-effe-466a-8fa6-0d4dd76d2380,FlexRIC/MAC_SM,35.196897,True,done
25,12563b94-72be-4d83-8521-7cd206d5a1ca,FlexRIC/MAC_SM,35.200655,True,done
26,4980d3ba-46f4-4ac7-a79d-8314041fb10a,FlexRIC/MAC_SM,35.613805,True,done
27,2db2ee62-8d63-4825-8ec7-d9e66abeb312,FlexRIC/MAC_SM,34.403641,True,done
28,cd8d37d7-ce39-42ff-b880-1076a8fcdc9e,FlexRIC/MAC_SM,36.666873,True,done
29,239b4a8d-91d6-43a3-9bc2-429022a0b191,FlexRIC/MAC_SM,34.395666,True,done
30,abb6ce60-61f2-4eeb-b0e6-1a84a61bfaba,FlexRIC/MAC_SM,37.297052,True,done
