category,case_id,expected,actual,correct
conflict,1,throttle,throttle,True
conflict,2,boost,boost,True
conflict,3,throttle,throttle,True
conflict,4,boost,boost,True
conflict,5,throttle,throttle,True
conflict,6,boost,boost,True
conflict,7,throttle,throttle,True
conflict,8,boost,boost,True
conflict,9,throttle,throttle,True
conflict,10,boost,boost,True
conflict,11,throttle,throttle,True
conflict,12,boost,boost,True
conflict,13,throttle,throttle,True
conflict,14,boost,boost,True
conflict,15,throttle,throttle,True
conflict,16,boost,boost,True
conflict,17,throttle,throttle,True
conflict,18,boost,boost,True
conflict,19,throttle,throttle,True
conflict,20,boost,boost,True
constraint,cooldown_block-1,cooldown,cooldown,True
constraint,cooldown_allow-1,allowed,allowed,True
constraint,rate_block-1,rate_limit,rate_limit,True
constraint,rate_allow-1,allowed,allowed,True
constraint,cooldown_block-2,cooldown,cooldown,True
constraint,cooldown_allow-2,allowed,allowed,True
constraint,rate_block-2,rate_limit,rate_limit,True
constraint,rate_allow-2,allowed,allowed,True
constraint,cooldown_block-3,cooldown,cooldown,True
constraint,cooldown_allow-3,allowed,allowed,True
constraint,rate_block-3,rate_limit,rate_limit,True
constraint,rate_allow-3,allowed,allowed,True
constraint,cooldown_block-4,cooldown,cooldown,True
constraint,cooldown_allow-4,allowed,allowed,True
constraint,rate_block-4,rate_limit,rate_limit,True
constraint,rate_allow-4,allowed,allowed,True
constraint,cooldown_block-5,cooldown,cooldown,True
constraint,cooldown_allow-5,allowed,allowed,True
constraint,rate_block-5,rate_limit,rate_limit,True
constraint,rate_allow-5,allowed,allowed,True
