condition,policy_type,llm_enabled,trial,expected_winner,actual_execution,throughput_priority,energy_priority,throughput_route,energy_route,throughput_calls,energy_calls,actions_per_state,triggered_count,suppressed_count,collision,loser_executed,correct_exclusive_winner,latency_ms,correct
before_no_arbitration,rule_threshold_plus_priority_mutex,False,1,throughput,both,10,1,http://127.0.0.1:8101,http://127.0.0.1:8102,1,1,2,2,0,True,True,False,106.880935,False
after_priority_mutex,rule_threshold_plus_priority_mutex,False,1,throughput,throughput,10,1,http://127.0.0.1:8101,http://127.0.0.1:8102,1,0,1,1,1,False,False,True,52.365203,True
before_no_arbitration,rule_threshold_plus_priority_mutex,False,2,energy,both,1,10,http://127.0.0.1:8101,http://127.0.0.1:8102,1,1,2,2,0,True,True,False,104.052435,False
after_priority_mutex,rule_threshold_plus_priority_mutex,False,2,energy,energy,1,10,http://127.0.0.1:8101,http://127.0.0.1:8102,0,1,1,1,1,False,False,True,54.559464,True
before_no_arbitration,rule_threshold_plus_priority_mutex,False,3,throughput,both,10,1,http://127.0.0.1:8101,http://127.0.0.1:8102,1,1,2,2,0,True,True,False,104.81254,False
after_priority_mutex,rule_threshold_plus_priority_mutex,False,3,throughput,throughput,10,1,http://127.0.0.1:8101,http://127.0.0.1:8102,1,0,1,1,1,False,False,True,51.096177,True
before_no_arbitration,rule_threshold_plus_priority_mutex,False,4,energy,both,1,10,http://127.0.0.1:8101,http://127.0.0.1:8102,1,1,2,2,0,True,True,False,101.401752,False
after_priority_mutex,rule_threshold_plus_priority_mutex,False,4,energy,energy,1,10,http://127.0.0.1:8101,http://127.0.0.1:8102,0,1,1,1,1,False,False,True,52.938203,True
before_no_arbitration,rule_threshold_plus_priority_mutex,False,5,throughput,both,10,1,http://127.0.0.1:8101,http://127.0.0.1:8102,1,1,2,2,0,True,True,False,105.808689,False
after_priority_mutex,rule_threshold_plus_priority_mutex,False,5,throughput,throughput,10,1,http://127.0.0.1:8101,http://127.0.0.1:8102,1,0,1,1,1,False,False,True,51.931864,True
before_no_arbitration,rule_threshold_plus_priority_mutex,False,6,energy,both,1,10,http://127.0.0.1:8101,http://127.0.0.1:8102,1,1,2,2,0,True,True,False,104.045822,False
after_priority_mutex,rule_threshold_plus_priority_mutex,False,6,energy,energy,1,10,http://127.0.0.1:8101,http://127.0.0.1:8102,0,1,1,1,1,False,False,True,51.385152,True
before_no_arbitration,rule_threshold_plus_priority_mutex,False,7,throughput,both,10,1,http://127.0.0.1:8101,http://127.0.0.1:8102,1,1,2,2,0,True,True,False,103.667017,False
after_priority_mutex,rule_threshold_plus_priority_mutex,False,7,throughput,throughput,10,1,http://127.0.0.1:8101,http://127.0.0.1:8102,1,0,1,1,1,False,False,True,51.006748,True
before_no_arbitration,rule_threshold_plus_priority_mutex,False,8,energy,both,1,10,http://127.0.0.1:8101,http://127.0.0.1:8102,1,1,2,2,0,True,True,False,103.870311,False
after_priority_mutex,rule_threshold_plus_priority_mutex,False,8,energy,energy,1,10,http://127.0.0.1:8101,http://127.0.0.1:8102,0,1,1,1,1,False,False,True,52.104329,True
before_no_arbitration,rule_threshold_plus_priority_mutex,False,9,throughput,both,10,1,http://127.0.0.1:8101,http://127.0.0.1:8102,1,1,2,2,0,True,True,False,100.441038,False
after_priority_mutex,rule_threshold_plus_priority_mutex,False,9,throughput,throughput,10,1,http://127.0.0.1:8101,http://127.0.0.1:8102,1,0,1,1,1,False,False,True,51.241681,True
before_no_arbitration,rule_threshold_plus_priority_mutex,False,10,energy,both,1,10,http://127.0.0.1:8101,http://127.0.0.1:8102,1,1,2,2,0,True,True,False,102.245443,False
