mode,trial,policy_delivery_ms,state_to_control_ms,success,fallback
direct_rest,1,0.0,1.972262,True,False
direct_rest,2,0.0,1.384874,True,False
direct_rest,3,0.0,1.49938,True,False
direct_rest,4,0.0,1.647409,True,False
direct_rest,5,0.0,1.595131,True,False
direct_rest,6,0.0,1.557941,True,False
direct_rest,7,0.0,1.518176,True,False
direct_rest,8,0.0,1.497526,True,False
direct_rest,9,0.0,1.514078,True,False
direct_rest,10,0.0,1.465335,True,False
direct_rest,11,0.0,1.498028,True,False
direct_rest,12,0.0,1.475425,True,False
direct_rest,13,0.0,1.416944,True,False
direct_rest,14,0.0,1.441671,True,False
direct_rest,15,0.0,1.408258,True,False
rule_only_a2a,1,67.336506,64.915195,True,False
rule_only_a2a,2,43.134315,53.311093,True,False
rule_only_a2a,3,43.156487,54.423382,True,False
rule_only_a2a,4,41.049399,54.848424,True,False
rule_only_a2a,5,42.770368,54.040158,True,False
rule_only_a2a,6,43.366012,55.707005,True,False
rule_only_a2a,7,41.481095,54.530113,True,False
rule_only_a2a,8,43.265632,53.207497,True,False
rule_only_a2a,9,44.041607,53.81315,True,False
rule_only_a2a,10,42.430135,54.240166,True,False
rule_only_a2a,11,43.93692,53.434666,True,False
rule_only_a2a,12,42.64438,53.375995,True,False
rule_only_a2a,13,42.184031,52.940353,True,False
rule_only_a2a,14,42.066579,51.096082,True,False
rule_only_a2a,15,42.774104,54.294458,True,False
llm_rule_a2a,1,416.630051,244.751608,True,False
llm_rule_a2a,2,418.660892,241.48953,True,False
llm_rule_a2a,3,422.335037,251.754433,True,False
llm_rule_a2a,4,411.338028,252.017008,True,False
llm_rule_a2a,5,419.897551,238.827432,True,False
llm_rule_a2a,6,355.053893,228.520788,True,False
llm_rule_a2a,7,361.143144,258.475626,True,False
llm_rule_a2a,8,412.443048,239.685408,True,False
llm_rule_a2a,9,356.266387,251.964936,True,False
llm_rule_a2a,10,362.118171,239.691379,True,False
llm_rule_a2a,11,432.437833,258.623351,True,False
llm_rule_a2a,12,419.951615,259.599092,True,False
llm_rule_a2a,13,417.109368,253.47388,True,False
llm_rule_a2a,14,415.689055,265.142872,True,False
llm_rule_a2a,15,420.548907,252.697702,True,False
