condition,episode,before_mean,after_mean,throughput_before,throughput_after,queue_delay_before_ms,queue_delay_after_ms,retransmission_before,retransmission_after,change,reduction_pct,throughput_change_pct,queue_delay_reduction_pct,retransmission_reduction_pct,control_success
no_control,1,0.763575,0.6975875,0.5341125,0.44765,53.08525,55.165625,0.41381249999999997,0.4642375,-0.06598749999999998,8.641914677667547,-16.188068992955603,-3.9189322834497275,-12.18547047273827,
no_control,2,0.7305444444444444,0.6686222222222222,0.4194,0.44326666666666664,46.714555555555556,65.06922222222222,0.4047777777777778,0.39544444444444443,-0.06192222222222221,8.476174542578594,5.69066920998251,-39.29110841017908,2.3057919297282523,
no_control,3,0.7286666666666667,0.6538444444444445,0.4025111111111111,0.5615333333333333,54.056666666666665,50.03888888888889,0.5039888888888889,0.41862222222222223,-0.07482222222222223,10.26837450442208,39.50753602385028,7.432529649955801,16.938204105028774,
no_control,4,0.556675,0.7024625,0.5614125,0.428575,54.590375,53.69625,0.487975,0.42475,0.14578749999999996,-26.188979206898093,-23.661300736980383,1.6378803039913217,12.956606383523741,
no_control,5,0.7268571428571429,0.59531,0.45630000000000004,0.42039,39.697714285714284,57.2541,0.44904285714285713,0.35169,-0.13154714285714286,18.09807389937107,-7.869822485207112,-44.22518029105671,21.680081443069383,
no_control,6,0.7121666666666666,0.65524,0.5150888888888889,0.55121,53.37588888888889,60.1785,0.512,0.52358,-0.05692666666666657,7.993447226772746,7.012597609905505,-12.74472660356424,-2.2617187500000067,
no_control,7,0.62434,0.6695,0.51419,0.39817,48.757,48.871,0.64303,0.6119600000000001,0.04515999999999998,-7.23323829964442,-22.56364378926078,-0.23381258075764366,4.831811890580522,
no_control,8,0.81245,0.8223111111111111,0.4573875,0.5009444444444444,40.587375,59.29377777777778,0.524475,0.4309222222222222,0.009861111111111098,-1.2137499059771184,9.52298531211378,-46.089215618841514,17.837414133710435,
no_control,9,0.777375,0.7294555555555555,0.437675,0.44106666666666666,42.50975,44.11311111111111,0.5895874999999999,0.49627777777777776,-0.047919444444444514,6.164263636526067,0.7749281239885033,-3.771749095468952,15.82627213470811,
no_control,10,0.766375,0.77839,0.450175,0.53758,53.16375,62.5692,0.4742,0.45125,0.012014999999999998,-1.567770347414777,19.415782751152317,-17.69147210270156,4.83973007169971,
control,1,0.708825,0.22167777777777778,0.51195,0.6575,53.94675,17.94188888888889,0.4193125,0.19946666666666665,-0.4871472222222223,68.72602154582897,28.43051079206953,66.74148324247727,52.430069061459726,True
control,2,0.7598666666666667,0.1903625,0.48233333333333334,0.6737125,57.915,16.22475,0.43095555555555554,0.1670875,-0.5695041666666667,74.94790752763643,39.67778161713892,71.985236985237,61.228600525962975,True
control,3,0.87859,0.2850875,0.54694,0.7617625,49.155300000000004,21.16125,0.49529,0.17752500000000002,-0.5935025,67.55170215914136,39.27716020038762,56.9502169654137,64.15736235336873,True
control,4,0.8148111111111112,0.23417777777777776,0.41136666666666666,0.7078222222222222,40.583222222222226,18.833555555555556,0.5024,0.19603333333333334,-0.5806333333333333,71.25986936304255,72.06601301893419,53.59275453183992,60.98062632696391,True
control,5,0.7523666666666666,0.2205777777777778,0.43093333333333333,0.7752111111111111,41.71633333333333,16.190555555555555,0.40992222222222224,0.18446666666666667,-0.5317888888888889,70.68214375378436,79.89119224422441,61.18892946274707,54.99959341880574,True
control,6,0.6063888888888889,0.303875,0.5302222222222223,0.7180124999999999,61.007,18.899875,0.4746,0.2636375,-0.30251388888888886,49.88776912505726,35.417277870913644,69.0201534250168,44.45058997050147,True
control,7,0.6143,0.2587875,0.5080285714285714,0.7544,53.87657142857143,17.274625,0.5639285714285714,0.207175,-0.35551249999999995,57.87278202832492,48.495585175187,67.93666608332273,63.262191260291324,True
control,8,0.6323555555555556,0.24634,0.43322222222222223,0.61796,40.85655555555556,15.7492,0.5409777777777778,0.16484000000000001,-0.38601555555555556,61.044068034860835,42.64272890484738,61.452452890736964,69.52924745317122,True
control,9,0.7972875,0.23865,0.5578875,0.6443,50.6455,16.469,0.4108125,0.1778875,-0.5586375,70.06725930106768,15.489233940534607,67.48180983502976,56.69861554845581,True
control,10,0.70607,0.22678888888888887,0.48383,0.6756444444444445,47.8649,18.19988888888889,0.48638,0.21995555555555554,-0.4792811111111111,67.88011261080503,39.64500846256836,61.97654463105764,54.77701477125796,True
