card_count,repetition,request_ms,lookup_mean_us,lookup_p95_us,selected_correctly
1,1,5.290094,0.357133,0.381,True
1,2,4.000551,0.347194,0.371,True
1,3,3.851509,0.349237,0.37,True
1,4,3.829127,0.345192,0.361,True
1,5,3.785164,0.347907,0.361,True
1,6,3.69794,0.34406000000000003,0.361,True
1,7,3.652764,0.347719,0.361,True
1,8,3.647014,0.347481,0.361,True
1,9,3.689774,0.348576,0.37,True
1,10,3.753985,0.34314500000000003,0.361,True
1,11,3.654187,0.346865,0.361,True
1,12,4.348177,0.345489,0.361,True
1,13,4.746748,0.451044,0.471,True
1,14,4.865923,0.495257,0.782,True
1,15,4.874019,0.449302,0.481,True
1,16,4.811822,0.464323,0.751,True
1,17,4.744736,0.453422,0.471,True
1,18,4.836649,0.463252,0.491,True
1,19,4.69404,0.448597,0.481,True
1,20,4.820699,0.46159300000000003,0.481,True
1,21,4.72605,0.452153,0.481,True
1,22,4.746909,0.44136,0.471,True
1,23,4.647722,0.45474000000000003,0.48,True
1,24,4.66784,0.450814,0.48,True
1,25,4.638635,0.455067,0.481,True
1,26,5.222938,0.450586,0.481,True
1,27,4.662029,0.450984,0.48,True
1,28,4.622204,0.449587,0.471,True
1,29,4.665546,0.461578,0.481,True
1,30,4.705782,0.46034400000000003,0.491,True
10,1,5.593978,1.270936,1.322,True
10,2,5.565634,1.286417,1.333,True
10,3,5.525839,1.2868519999999999,1.352,True
10,4,5.520048,1.266406,1.313,True
10,5,5.582096,1.290773,1.323,True
10,6,5.62659,1.318715,1.353,True
10,7,5.523876,1.283983,1.333,True
10,8,5.560857,1.269162,1.322,True
10,9,5.598577,1.2785009999999999,1.333,True
10,10,5.50484,1.294518,1.343,True
10,11,5.578028,1.289577,1.342,True
10,12,5.657558,1.272408,1.323,True
10,13,5.597044,1.27251,1.323,True
10,14,5.497406,1.270467,1.322,True
10,15,5.547931,1.297506,1.342,True
10,16,5.486485,1.272483,1.332,True
10,17,5.61092,1.284119,1.333,True
10,18,5.673087,1.276773,1.323,True
10,19,5.525027,1.286594,1.342,True
10,20,5.58464,1.311662,1.353,True
10,21,5.524137,1.27697,1.332,True
10,22,5.598046,1.27262,1.332,True
10,23,5.60542,1.291984,1.342,True
10,24,5.528354,1.284997,1.332,True
10,25,5.546168,1.289047,1.342,True
10,26,5.670862,1.268621,1.323,True
10,27,5.602104,1.2765469999999999,1.333,True
10,28,5.709145,1.275346,1.333,True
10,29,5.566807,1.274427,1.332,True
10,30,5.520589,1.278414,1.332,True
50,1,9.259035,4.895129,4.99,True
50,2,9.317816,4.970277,5.1,True
50,3,9.300133,4.965997,5.03,True
50,4,9.308469,4.944269,5.06,True
50,5,9.345058,4.988175,5.099,True
50,6,9.268122,4.938053,5.019,True
50,7,9.328697,4.949382,5.029,True
50,8,5.141313,2.660945,3.877,True
50,9,4.469155,2.29641,2.345,True
50,10,4.511325,2.324392,2.385,True
50,11,4.51388,2.308712,2.355,True
50,12,4.507758,2.313583,2.365,True
50,13,4.511214,2.303534,2.364,True
50,14,4.59361,2.312566,2.364,True
50,15,4.518379,2.304791,2.345,True
50,16,4.754363,2.568731,3.025,True
50,17,4.620861,2.415913,3.557,True
50,18,5.267782,2.766352,3.968,True
50,19,4.700181,2.309839,2.384,True
50,20,4.695482,2.313915,2.365,True
50,21,4.840927,2.55773,3.036,True
50,22,4.886894,2.550344,3.035,True
50,23,4.563313,2.311797,2.384,True
50,24,4.574875,2.315788,2.374,True
50,25,4.78407,2.561486,3.025,True
50,26,4.518749,2.3133719999999998,2.355,True
50,27,4.478423,2.297018,2.344,True
50,28,4.553504,2.323689,2.355,True
50,29,4.604721,2.299138,2.365,True
50,30,4.859962,2.518945,3.006,True
100,1,6.833367,4.572477,4.639,True
100,2,6.854016,4.597448,4.659,True
100,3,6.858385,4.608026,4.639,True
100,4,6.849017,4.570204,4.639,True
100,5,6.912676,4.574213,4.639,True
100,6,7.211029,4.852659,5.932,True
100,7,6.879915,4.579778,4.658,True
100,8,6.994511,4.557005,4.649,True
100,9,7.209977,4.793097,5.881,True
100,10,6.970807,4.556995,4.649,True
100,11,7.171826,4.774611,4.849,True
100,12,6.997597,4.573485,4.649,True
100,13,7.123495,4.518333,4.588,True
100,14,7.269931,4.576319,4.679,True
100,15,7.303695,4.866111,5.992,True
100,16,6.970025,4.57892,4.629,True
100,17,7.132773,4.802275,5.911,True
100,18,6.914981,4.610282,4.709,True
100,19,7.164362,4.550989,4.619,True
100,20,7.13704,4.761939,5.921,True
100,21,6.902597,4.586595,4.649,True
100,22,6.86675,4.589936,4.639,True
100,23,6.873222,4.600684,4.659,True
100,24,6.975637,4.744441,4.809,True
100,25,6.823458,4.539168,4.609,True
100,26,7.108667,4.807729,5.881,True
100,27,7.112664,4.790875,5.871,True
100,28,6.837686,4.533157,4.599,True
100,29,7.175142,4.819952,5.891,True
100,30,7.218233,4.533108,4.609,True
